transaction_id,amount,hour,state,device,sender_id,receiver_id,fraud_flag
txn_033553,262.4990159966698,17,Punjab,Android,user_0107,user_0374,0
txn_009427,1487.3949388812293,12,Rajasthan,Android,user_0057,user_0014,0
txn_000199,1210.8497535447225,9,Bihar,Android,user_0330,user_0489,0
txn_012447,5104.969644466205,14,Gujarat,Android,user_0019,user_0294,0
txn_039489,743.9642532451661,13,Rajasthan,Android,user_0443,user_0382,0
txn_042724,862.8221609611251,18,Rajasthan,Android,user_0480,user_0427,0
txn_010822,2474.455840768493,19,UP,iOS,user_0434,user_0320,0
txn_049498,2043.630753540692,3,Bihar,Web,user_0028,user_0476,1
txn_004144,2004.7167167329487,20,West Bengal,iOS,user_0454,user_0160,0
txn_036958,233.73768091102977,8,Gujarat,Android,user_0228,user_0214,0
txn_043106,250.88516104197484,18,West Bengal,Android,user_0156,user_0249,0
txn_038695,2006.0207760800683,13,Delhi,Android,user_0142,user_0177,0
txn_006188,116.60035690580226,8,Tamil Nadu,Android,user_0052,user_0385,0
txn_001414,606.011234267155,12,West Bengal,iOS,user_0002,user_0185,0
txn_018471,1483.0498456147877,20,UP,Android,user_0370,user_0146,0
txn_029282,1590.5000773686763,19,Tamil Nadu,iOS,user_0181,user_0038,0
txn_015177,273.4771992359109,11,Delhi,Android,user_0286,user_0223,0
txn_034304,1394.4849512039934,17,Delhi,iOS,user_0111,user_0248,0
txn_012609,1768.8964113745203,8,Tamil Nadu,iOS,user_0100,user_0236,0
txn_012144,513.6338338436622,12,Punjab,Android,user_0354,user_0479,0
txn_006113,629.6580848486147,20,Maharashtra,Android,user_0302,user_0351,0
txn_015908,182.93078125242505,14,Rajasthan,iOS,user_0396,user_0394,0
txn_000821,3.714227253074308,15,Karnataka,Android,user_0024,user_0215,0
txn_015118,47.103622653302594,8,Gujarat,Android,user_0450,user_0479,0
txn_013466,603.8464701762006,15,UP,iOS,user_0192,user_0127,0
txn_026497,109.32140666584871,17,Bihar,iOS,user_0317,user_0132,0
txn_042111,1008.1938919026894,12,Punjab,iOS,user_0039,user_0356,0
txn_030188,1181.9573972774583,11,Tamil Nadu,Android,user_0257,user_0272,0
txn_037237,1209.6145804307175,13,Gujarat,Android,user_0232,user_0019,0
txn_033109,1893.547644619775,13,UP,Android,user_0012,user_0421,0
txn_036480,2133.442165855683,12,West Bengal,Android,user_0386,user_0149,0
txn_024148,110.53967788794807,8,Delhi,Android,user_0067,user_0070,0
txn_005503,541.821788642651,12,West Bengal,Android,user_0324,user_0450,0
txn_003918,889.5845764391504,9,Delhi,Android,user_0074,user_0308,0
txn_038478,581.9932832220053,14,Bihar,Android,user_0460,user_0014,0
txn_021123,1277.4720412992522,18,Maharashtra,iOS,user_0418,user_0483,0
txn_049717,2148.0697067230026,2,Bihar,Android,user_0006,user_0464,1
txn_042294,625.019815028479,17,Tamil Nadu,Android,user_0478,user_0474,0
txn_047609,896.5375410787422,4,UP,Web,user_0033,user_0483,1
txn_011076,419.69873170703676,13,Delhi,Android,user_0435,user_0017,0
txn_041514,65.49539711601395,13,Bihar,Android,user_0415,user_0041,0
txn_022062,202.1393839013568,9,Karnataka,Android,user_0474,user_0339,0
txn_009413,93.58149937842008,17,Tamil Nadu,Android,user_0013,user_0139,0
txn_038340,58.104435808741094,9,Rajasthan,Android,user_0089,user_0445,0
txn_030263,453.9318005778824,13,Karnataka,Android,user_0059,user_0230,0
txn_041252,390.1014182238229,14,Rajasthan,Android,user_0440,user_0160,0
txn_014644,1237.133245982156,21,Punjab,iOS,user_0202,user_0333,0
txn_026335,1356.9087316293069,20,Karnataka,Android,user_0097,user_0307,0
txn_028102,391.52846158728767,18,Bihar,iOS,user_0327,user_0369,0
txn_017523,1458.5143703229744,10,West Bengal,Android,user_0450,user_0272,0
txn_024712,655.0911941397669,21,Bihar,iOS,user_0101,user_0370,0
txn_040485,1278.0230047630832,13,Maharashtra,iOS,user_0248,user_0318,0
txn_003850,432.5702581944121,12,Tamil Nadu,Android,user_0416,user_0059,0
txn_040040,557.8265450983162,12,West Bengal,Android,user_0072,user_0407,0
txn_015267,766.9157820958236,18,Karnataka,Android,user_0404,user_0496,0
txn_049146,11978.035817003096,2,UP,Web,user_0013,user_0455,1
txn_030001,491.90138067768015,12,Punjab,iOS,user_0411,user_0051,0
txn_045926,103.17392285909574,9,UP,Android,user_0216,user_0457,0
txn_043824,1225.2192430527643,16,Gujarat,Android,user_0048,user_0072,0
txn_017240,65.79012804774901,12,Tamil Nadu,iOS,user_0291,user_0031,0
txn_004892,752.9028451794641,13,Gujarat,Android,user_0234,user_0432,0
txn_000725,1475.2617130571823,21,Delhi,Android,user_0489,user_0253,0
txn_022949,1504.057638230287,12,Punjab,Android,user_0440,user_0170,0
txn_034657,1471.7764225957835,20,Punjab,Android,user_0417,user_0025,0
txn_037213,1303.6887865356557,10,Karnataka,iOS,user_0318,user_0018,0
txn_020304,752.4284132259216,9,Karnataka,iOS,user_0213,user_0466,0
txn_015269,66.63147259724091,18,Delhi,iOS,user_0422,user_0353,0
txn_022367,79.11743500766325,21,Rajasthan,iOS,user_0176,user_0216,0
txn_042684,1246.6978729950154,18,Bihar,Android,user_0464,user_0403,0
txn_046734,210.59448753146518,10,Gujarat,Android,user_0240,user_0474,0
txn_011732,293.1179307364033,9,UP,Android,user_0042,user_0037,0
txn_018619,198.74878502788752,10,Maharashtra,iOS,user_0374,user_0332,0
txn_048492,21371.40647356661,3,Bihar,Web,user_0015,user_0470,1
txn_026803,447.80714353691684,11,Gujarat,iOS,user_0174,user_0074,0
txn_044305,648.3277864760837,8,Punjab,Android,user_0483,user_0004,0
txn_047522,4509.827919973192,22,UP,Web,user_0007,user_0479,1
txn_032207,201.65198637718453,11,West Bengal,iOS,user_0169,user_0123,0
txn_002530,903.6398835494026,12,Karnataka,Android,user_0157,user_0133,0
txn_017746,3460.553178550917,11,Tamil Nadu,Android,user_0370,user_0102,0
txn_008270,335.41826095196717,9,UP,Android,user_0012,user_0201,0
txn_015079,399.3079671631845,12,Karnataka,iOS,user_0358,user_0287,0
txn_013624,484.01082406693615,8,Karnataka,Android,user_0448,user_0361,0
txn_030638,68.17197480124577,10,Delhi,Android,user_0283,user_0303,0
txn_030440,781.8245163665314,17,Maharashtra,Android,user_0486,user_0408,0
txn_036056,1040.5579875434914,19,Delhi,Android,user_0349,user_0297,0
txn_042651,1024.161362627976,11,Punjab,iOS,user_0405,user_0133,0
txn_036803,171.50682459417425,18,Rajasthan,Android,user_0379,user_0014,0
txn_048224,5494.9465930927445,0,Bihar,Web,user_0006,user_0455,1
txn_029226,616.9176583339671,13,Rajasthan,Android,user_0099,user_0128,0
txn_005633,166.83275201728824,21,West Bengal,iOS,user_0071,user_0494,0
txn_005987,2153.7440475565863,11,Tamil Nadu,Android,user_0200,user_0135,0
txn_048063,11170.450719992146,1,UP,Android,user_0035,user_0473,1
txn_001812,246.35835964287222,13,Rajasthan,iOS,user_0311,user_0211,0
txn_027578,608.2508743068107,15,West Bengal,iOS,user_0249,user_0357,0
txn_016823,102.89282202439547,19,Tamil Nadu,Android,user_0007,user_0200,0
txn_003928,931.9184944778405,19,Maharashtra,Android,user_0465,user_0131,0
txn_037286,1771.6033579172379,16,Karnataka,iOS,user_0285,user_0491,0
