transaction_id,amount,hour,state,device,fraud_flag,anomaly
0,1740.3128401098463,20,Delhi,iOS,0,1
1,417.133150873354,11,Delhi,Android,0,1
2,665.8224478376345,19,Maharashtra,iOS,0,1
3,2937.408489288852,11,Maharashtra,Android,0,1
4,603.5008551710565,7,Bihar,Android,0,1
5,2169.6520837053326,0,Maharashtra,Android,0,1
6,4270.721157737971,11,UP,iOS,0,1
7,3021.584761603586,9,Karnataka,Android,0,1
8,5884.431695121681,7,Delhi,Android,0,1
9,2034.1319485024587,23,UP,Android,0,1
10,2463.5415955797694,0,Maharashtra,iOS,0,1
11,773.5908580755151,0,UP,iOS,0,1
12,804.6108505764171,10,Bihar,iOS,0,1
13,1699.021871724245,19,Bihar,iOS,0,1
14,933.5990223724916,22,Delhi,Android,0,1
15,573.1716663323323,16,UP,iOS,0,1
16,3107.964798346136,18,UP,Android,0,1
17,1864.408431987461,22,Delhi,iOS,0,1
18,279.9302652735048,1,Karnataka,Android,0,1
19,786.7323072053986,17,Bihar,iOS,0,1
20,388.0242827083077,19,Maharashtra,Android,0,1
21,3063.474835451174,8,Maharashtra,iOS,0,1
22,233.992118395154,14,UP,Android,0,1
23,719.4867794944387,8,Karnataka,Android,0,1
24,148.6094514096863,13,UP,iOS,0,1
25,548.5057552337016,3,Maharashtra,iOS,0,1
26,8.96511377629924,9,Maharashtra,iOS,0,1
27,731.9424581734188,4,Bihar,iOS,0,1
28,2647.5980167800126,13,Delhi,Android,0,1
29,367.12444608729936,8,UP,iOS,0,1
30,196.43946112936032,21,UP,iOS,0,1
31,3726.376886589761,16,Bihar,Android,0,1
32,4209.31343136332,11,Bihar,Android,0,1
33,361.2897656035567,14,Karnataka,iOS,0,1
34,1263.646543874996,12,Bihar,iOS,0,1
35,80.28496355232144,15,Maharashtra,iOS,0,1
36,41.13701767418614,20,UP,iOS,0,1
37,430.0396473751904,23,UP,iOS,0,1
38,1481.7889851621826,17,Bihar,Android,0,1
39,3008.361562886991,2,Maharashtra,Android,0,1
40,2466.789854878537,9,Delhi,iOS,0,1
41,748.3864541107778,4,Bihar,iOS,0,1
42,456.9746117553221,1,Bihar,Android,0,1
43,2091.8501043776923,10,UP,Android,0,1
44,599.0300634028206,3,UP,iOS,0,1
45,599.4690888512229,9,Karnataka,iOS,0,1
46,1368.3051348343702,15,Karnataka,Android,0,1
47,296.8158394097138,10,Delhi,Android,0,1
48,206.3847432159324,10,Karnataka,Android,0,1
49,568.5212538076224,9,UP,iOS,0,1
50,2712.064018944074,8,Delhi,iOS,0,1
51,5220.624454444458,23,Maharashtra,iOS,0,1
52,1423.047692931037,0,UP,Android,0,1
53,2093.747709321071,7,UP,iOS,0,1
54,340.6051571439975,9,Maharashtra,Android,0,1
55,1332.8011724482633,10,Karnataka,iOS,0,1
56,3137.0354453804985,19,UP,Android,0,1
57,778.7846615219593,18,Bihar,iOS,0,1
58,386.2326550788727,7,Bihar,Android,0,1
59,2514.075538746852,13,Karnataka,Android,0,1
60,4347.183488162378,13,Delhi,iOS,0,1
61,998.3013471010156,22,Maharashtra,iOS,0,1
